"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","10","455-1704-ND","B2B-PH-K-S","CONN HEADER VERT 2POS 2MM","","10","0","0.08300","0.83"
"2","10","2057-RF2-152-T-00-50-G-HDW-ND","RF2-152-T-00-50-G-HDW","SMA JACK STR PCB 50OHM 18GHZ BRS","","10","0","2.28900","22.89"
"3","25","541-0.0ACT-ND","CRCW08050000Z0EA","RES SMD 0 OHM JUMPER 1/8W 0805","","25","0","0.01800","0.45"
